index,Age,Gender,Country,Formal_Education,Position,Years_Coding,Salary
0,23.0,Male,France,Master’s degree,Software Engineer,2.0,34999.5
1,42.0,Male,India,Professional degree,Software Engineer,0.0,6249.5
2,42.0,Male,Australia,Master’s degree,Other,2.0,274999.5
3,52.0,Male,France,Master’s degree,Data Scientist,20.0,64999.5
4,23.0,Male,India,Master’s degree,Data Scientist,5.0,12499.5
5,23.0,Female,United States of America,Bachelor’s degree,Data Scientist,5.0,84999.5
6,32.0,Male,Germany,Master’s degree,Statistician,10.0,2499.5
7,32.0,Male,Germany,Bachelor’s degree,Data Scientist,10.0,74999.5
8,32.0,Male,United States of America,Master’s degree,Product/Project Manager,5.0,94999.5
9,52.0,Female,United States of America,Master’s degree,Data Analyst,20.0,137499.5
10,27.0,Male,France,Doctoral degree,Research Scientist,10.0,44999.5
11,23.0,Female,Ireland,Master’s degree,Data Analyst,2.0,22499.5
12,37.0,Male,United States of America,Bachelor’s degree,Other,10.0,137499.5
13,42.0,Male,Russia,Master’s degree,Software Engineer,2.0,12499.5
14,27.0,Male,Greece,Master’s degree,Research Scientist,10.0,17499.5
15,32.0,Male,Greece,Master’s degree,Software Engineer,2.0,22499.5
16,37.0,Male,India,Master’s degree,Software Engineer,20.0,112499.5
17,32.0,Male,Japan,Master’s degree,Software Engineer,2.0,94999.5
18,32.0,Male,Japan,Master’s degree,Data Scientist,10.0,8749.5
19,32.0,Female,United States of America,Master’s degree,Research Scientist,10.0,174999.5
20,23.0,Male,Brazil,Bachelor’s degree,Data Scientist,2.0,12499.5
21,27.0,Male,India,Bachelor’s degree,Other,5.0,8749.5
22,37.0,Male,South Korea,Master’s degree,Data Analyst,2.0,12499.5
23,27.0,Male,Brazil,Master’s degree,Data Analyst,5.0,27499.5
24,32.0,Female,United States of America,Doctoral degree,Product/Project Manager,20.0,94999.5
25,27.0,Male,India,Bachelor’s degree,Software Engineer,2.0,6249.5
26,37.0,Male,Belarus,Master’s degree,Software Engineer,2.0,3499.5
27,27.0,Male,India,Bachelor’s degree,DBA/Database Engineer,5.0,2499.5
28,23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,12499.5
29,27.0,Male,India,Master’s degree,Data Engineer,5.0,12499.5
30,37.0,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,10.0,44999.5
31,32.0,Male,Sweden,Master’s degree,Data Analyst,2.0,44999.5
32,37.0,Male,United States of America,Bachelor’s degree,Data Scientist,10.0,174999.5
33,27.0,Male,India,Bachelor’s degree,Business Analyst,5.0,3499.5
34,32.0,Male,Germany,Master’s degree,Data Engineer,2.0,84999.5
35,27.0,Male,Germany,Bachelor’s degree,Data Scientist,5.0,64999.5
36,47.0,Female,India,Doctoral degree,Data Analyst,5.0,2499.5
37,32.0,Male,United States of America,Master’s degree,Other,5.0,174999.5
38,37.0,Male,Mexico,Master’s degree,Data Scientist,2.0,44999.5
39,32.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,112499.5
40,23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
41,37.0,Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,2.0,44999.5
42,42.0,Male,Other,Master’s degree,Other,5.0,17499.5
43,27.0,Prefer not to say,United States of America,Master’s degree,Data Scientist,10.0,224999.5
44,19.5,Male,Russia,Bachelor’s degree,Data Scientist,2.0,12499.5
45,23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,17499.5
46,32.0,Male,India,Bachelor’s degree,Data Scientist,5.0,22499.5
47,23.0,Male,Australia,Master’s degree,Software Engineer,2.0,54999.5
48,37.0,Male,Japan,Doctoral degree,Research Scientist,2.0,1499.5
49,37.0,Male,Canada,Doctoral degree,Research Scientist,20.0,137499.5
50,32.0,Male,Portugal,Doctoral degree,Data Scientist,10.0,17499.5
51,27.0,Male,United States of America,Master’s degree,Data Engineer,2.0,74999.5
52,27.0,Male,Russia,Bachelor’s degree,Software Engineer,2.0,1499.5
53,32.0,Male,Canada,Master’s degree,Business Analyst,5.0,74999.5
54,32.0,Female,United States of America,Master’s degree,Data Engineer,5.0,137499.5
55,23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
56,32.0,Male,Canada,Doctoral degree,Research Scientist,10.0,64999.5
57,27.0,Male,Poland,Master’s degree,Research Scientist,10.0,44999.5
58,37.0,Male,Netherlands,I prefer not to answer,Software Engineer,2.0,44999.5
59,32.0,Male,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,2.0,44999.5
60,23.0,Male,India,Bachelor’s degree,Software Engineer,5.0,4499.5
61,23.0,Male,Brazil,Bachelor’s degree,Business Analyst,2.0,12499.5
62,32.0,Male,United States of America,Master’s degree,Business Analyst,2.0,54999.5
63,32.0,Male,India,Bachelor’s degree,Business Analyst,2.0,12499.5
64,27.0,Male,Czech Republic,Master’s degree,Research Scientist,2.0,34999.5
65,37.0,Prefer not to say,United States of America,Master’s degree,Data Scientist,5.0,224999.5
66,52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,20.0,64999.5
67,32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,137499.5
68,32.0,Female,United States of America,Master’s degree,Data Engineer,20.0,112499.5
69,37.0,Male,Sweden,Doctoral degree,Data Scientist,10.0,74999.5
70,27.0,Male,United States of America,Master’s degree,Data Analyst,5.0,94999.5
71,27.0,Male,India,Master’s degree,Data Scientist,5.0,27499.5
72,47.0,Male,India,I prefer not to answer,Other,2.0,3499.5
73,27.0,Male,Spain,Master’s degree,Data Scientist,5.0,44999.5
74,37.0,Male,Russia,Professional degree,Data Scientist,20.0,44999.5
75,23.0,Male,United States of America,Bachelor’s degree,Data Analyst,0.0,64999.5
76,27.0,Male,United States of America,Master’s degree,Data Scientist,5.0,84999.5
77,32.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,174999.5
78,23.0,Male,Pakistan,Master’s degree,Data Scientist,2.0,22499.5
79,27.0,Male,Chile,Master’s degree,Data Scientist,5.0,27499.5
80,23.0,Male,France,Master’s degree,Software Engineer,2.0,34999.5
81,19.5,Female,India,Bachelor’s degree,Software Engineer,2.0,17499.5
82,47.0,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,5.0,400000.0
83,32.0,Female,Mexico,Master’s degree,Software Engineer,2.0,2499.5
84,27.0,Male,India,Master’s degree,Software Engineer,5.0,27499.5
85,52.0,Male,Spain,Doctoral degree,Research Scientist,20.0,54999.5
86,19.5,Female,India,Master’s degree,Data Scientist,5.0,4499.5
87,27.0,Male,South Africa,Bachelor’s degree,Data Scientist,2.0,27499.5
88,32.0,Male,France,Doctoral degree,Research Scientist,0.0,22499.5
89,42.0,Male,India,Master’s degree,Data Scientist,5.0,44999.5
90,64.5,Male,United States of America,Master’s degree,Software Engineer,20.0,112499.5
91,47.0,Female,Argentina,Professional degree,Data Analyst,10.0,17499.5
92,27.0,Male,Turkey,Doctoral degree,Data Scientist,10.0,1499.5
93,57.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,174999.5
94,32.0,Male,Ireland,Master’s degree,Data Scientist,2.0,34999.5
95,57.0,Male,France,Master’s degree,Research Scientist,5.0,137499.5
96,37.0,Male,Portugal,Master’s degree,Software Engineer,10.0,22499.5
97,42.0,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5.0,34999.5
98,23.0,Male,India,Master’s degree,Data Scientist,2.0,12499.5
99,47.0,Female,United States of America,Master’s degree,Statistician,20.0,224999.5
100,23.0,Male,Pakistan,Bachelor’s degree,Data Scientist,5.0,8749.5
101,32.0,Male,United States of America,I prefer not to answer,Data Analyst,5.0,54999.5
102,42.0,Male,Brazil,Professional degree,Statistician,10.0,34999.5
103,37.0,Male,Israel,Bachelor’s degree,Other,20.0,137499.5
104,19.5,Male,India,Bachelor’s degree,Data Scientist,5.0,12499.5
105,27.0,Male,Japan,Bachelor’s degree,Software Engineer,2.0,3499.5
106,37.0,Male,United States of America,Master’s degree,Data Scientist,10.0,137499.5
107,37.0,Male,Other,Master’s degree,Data Scientist,10.0,137499.5
108,37.0,Male,Italy,Doctoral degree,Other,20.0,137499.5
109,32.0,Female,Italy,Master’s degree,Data Scientist,5.0,44999.5
110,27.0,Male,France,Master’s degree,Data Scientist,5.0,64999.5
111,32.0,Male,Ukraine,Bachelor’s degree,Software Engineer,5.0,34999.5
112,27.0,Male,India,Master’s degree,Data Scientist,2.0,1499.5
113,27.0,Male,Japan,Master’s degree,Data Scientist,2.0,6249.5
114,37.0,Male,Russia,Professional degree,Product/Project Manager,5.0,44999.5
115,23.0,Female,United States of America,Bachelor’s degree,Data Scientist,5.0,74999.5
116,47.0,Male,Other,Doctoral degree,Research Scientist,20.0,94999.5
117,27.0,Male,Brazil,Master’s degree,Software Engineer,5.0,22499.5
118,23.0,Male,Brazil,Bachelor’s degree,Data Scientist,2.0,22499.5
119,32.0,Male,Russia,Doctoral degree,Data Scientist,10.0,74999.5
120,42.0,Male,United States of America,Master’s degree,Data Scientist,20.0,137499.5
121,37.0,Male,India,Master’s degree,Software Engineer,0.0,17499.5
122,52.0,Female,Brazil,Doctoral degree,Product/Project Manager,20.0,6249.5
123,27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,137499.5
124,27.0,Male,Canada,Master’s degree,Data Scientist,10.0,44999.5
125,27.0,Female,Canada,Master’s degree,Data Scientist,5.0,74999.5
126,27.0,Male,Brazil,Bachelor’s degree,Other,5.0,12499.5
127,57.0,Male,United States of America,Doctoral degree,Other,5.0,12499.5
128,27.0,Male,Hungary,Some college/university study without earning a bachelor’s degree,Data Analyst,5.0,12499.5
129,27.0,Male,Belarus,Doctoral degree,Data Scientist,10.0,1499.5
130,23.0,Male,Spain,Master’s degree,Data Analyst,5.0,12499.5
131,23.0,Male,United States of America,Bachelor’s degree,Data Analyst,2.0,64999.5
132,19.5,Male,Canada,Bachelor’s degree,Data Scientist,5.0,74999.5
133,27.0,Male,India,Master’s degree,Business Analyst,2.0,12499.5
134,42.0,Male,India,Master’s degree,Data Scientist,5.0,44999.5
135,37.0,Male,France,Master’s degree,Data Scientist,5.0,54999.5
136,32.0,Male,Colombia,Doctoral degree,Research Scientist,20.0,27499.5
137,42.0,Male,Germany,Doctoral degree,Research Scientist,10.0,64999.5
138,42.0,Male,United States of America,Professional degree,Statistician,20.0,94999.5
139,27.0,Male,Japan,Doctoral degree,Research Scientist,0.0,34999.5
140,32.0,Male,India,Professional degree,Business Analyst,2.0,12499.5
141,52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,174999.5
142,27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,174999.5
143,23.0,Male,Egypt,Bachelor’s degree,Data Scientist,2.0,6249.5
144,27.0,Male,India,Master’s degree,Data Scientist,5.0,74999.5
145,32.0,Male,India,Bachelor’s degree,Software Engineer,2.0,34999.5
146,52.0,Male,Sweden,Master’s degree,Other,10.0,224999.5
147,19.5,Female,Nigeria,Bachelor’s degree,Data Scientist,5.0,2499.5
148,47.0,Male,United States of America,Master’s degree,Data Analyst,20.0,112499.5
149,32.0,Male,Canada,Bachelor’s degree,Software Engineer,20.0,84999.5
150,27.0,Male,Norway,Master’s degree,Data Scientist,5.0,54999.5
151,27.0,Female,India,Master’s degree,Data Scientist,5.0,3499.5
152,27.0,Male,Netherlands,Bachelor’s degree,Data Scientist,10.0,54999.5
153,32.0,Male,United States of America,Master’s degree,Data Analyst,5.0,54999.5
154,37.0,Male,India,Master’s degree,Data Scientist,20.0,34999.5
155,42.0,Male,Japan,Doctoral degree,Research Scientist,10.0,6249.5
156,27.0,Male,Spain,Master’s degree,Data Scientist,5.0,44999.5
157,47.0,Male,United States of America,Master’s degree,Other,10.0,224999.5
158,32.0,Male,South Africa,Master’s degree,Software Engineer,10.0,64999.5
159,52.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,112499.5
160,32.0,Female,United States of America,Bachelor’s degree,Data Analyst,2.0,74999.5
161,64.5,Male,United States of America,Doctoral degree,Other,2.0,224999.5
162,32.0,Male,Czech Republic,Master’s degree,Other,5.0,12499.5
163,32.0,Male,Thailand,Master’s degree,Data Scientist,5.0,94999.5
164,32.0,Male,Taiwan,Master’s degree,Data Scientist,10.0,84999.5
165,27.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,74999.5
166,42.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,20.0,274999.5
167,37.0,Male,South Korea,Master’s degree,Data Scientist,10.0,4499.5
168,47.0,Male,Turkey,Doctoral degree,Research Scientist,10.0,54999.5
169,47.0,Male,United States of America,Master’s degree,Research Scientist,20.0,174999.5
170,42.0,Male,Indonesia,Bachelor’s degree,Other,20.0,94999.5
171,23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
172,47.0,Male,United States of America,Master’s degree,Other,5.0,224999.5
173,42.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20.0,137499.5
174,37.0,Male,Japan,Master’s degree,Data Scientist,5.0,6249.5
175,52.0,Male,Italy,Master’s degree,Software Engineer,2.0,44999.5
176,32.0,Male,Switzerland,Doctoral degree,Data Scientist,10.0,137499.5
177,23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,4499.5
178,23.0,Male,United States of America,Master’s degree,Data Scientist,2.0,74999.5
179,64.5,Male,United States of America,Master’s degree,Other,2.0,174999.5
180,32.0,Male,India,Doctoral degree,Data Analyst,5.0,12499.5
181,27.0,Male,Mexico,Master’s degree,Data Scientist,5.0,44999.5
182,32.0,Male,Other,Master’s degree,Data Scientist,5.0,17499.5
183,32.0,Male,Italy,Doctoral degree,Research Scientist,10.0,44999.5
184,37.0,Male,Other,Doctoral degree,Data Scientist,20.0,137499.5
185,32.0,Male,South Africa,Professional degree,Product/Project Manager,20.0,112499.5
186,52.0,Male,Brazil,Master’s degree,Statistician,20.0,112499.5
187,37.0,Male,Portugal,Master’s degree,Other,10.0,44999.5
188,32.0,Male,Germany,Doctoral degree,Data Scientist,10.0,64999.5
189,27.0,Male,United States of America,Master’s degree,Statistician,10.0,94999.5
190,64.5,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,94999.5
191,42.0,Male,Argentina,Master’s degree,Business Analyst,20.0,27499.5
192,42.0,Female,United States of America,Professional degree,Other,0.0,112499.5
193,52.0,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,20.0,34999.5
194,37.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,64999.5
195,19.5,Female,United States of America,Bachelor’s degree,Software Engineer,5.0,84999.5
196,27.0,Male,Taiwan,Master’s degree,Software Engineer,2.0,2499.5
197,19.5,Female,Russia,Bachelor’s degree,Data Analyst,2.0,12499.5
198,57.0,Male,Colombia,Master’s degree,Data Analyst,20.0,3499.5
199,27.0,Male,Thailand,Master’s degree,Data Scientist,2.0,22499.5
200,52.0,Male,Indonesia,Professional degree,Data Analyst,5.0,8749.5
201,37.0,Male,Other,Doctoral degree,Software Engineer,20.0,94999.5
202,32.0,Male,Chile,Bachelor’s degree,Software Engineer,5.0,17499.5
203,27.0,Male,United States of America,Bachelor’s degree,Other,2.0,27499.5
204,23.0,Male,Colombia,Bachelor’s degree,Statistician,5.0,8749.5
205,32.0,Male,Colombia,Master’s degree,Product/Project Manager,2.0,112499.5
206,27.0,Male,India,Bachelor’s degree,Data Engineer,5.0,27499.5
207,37.0,Male,United States of America,Doctoral degree,Data Analyst,10.0,74999.5
208,37.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,112499.5
209,42.0,Female,United States of America,Doctoral degree,Data Scientist,10.0,112499.5
210,23.0,Male,Russia,Master’s degree,Data Scientist,2.0,4499.5
211,32.0,Male,India,Professional degree,Research Scientist,0.0,8749.5
212,27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,137499.5
213,32.0,Male,Israel,Master’s degree,Data Scientist,10.0,84999.5
