index,Age,Gender,Formal_Education,Years_Coding,Salary
5,23.0,Female,0.0,5.0,84999.5
9,52.0,Female,3.0,20.0,137499.5
11,23.0,Female,3.0,2.0,22499.5
19,32.0,Female,3.0,10.0,174999.5
24,32.0,Female,1.0,20.0,94999.5
30,37.0,Female,0.0,10.0,44999.5
36,47.0,Female,1.0,5.0,2499.5
54,32.0,Female,3.0,5.0,137499.5
68,32.0,Female,3.0,20.0,112499.5
81,19.5,Female,0.0,2.0,17499.5
83,32.0,Female,3.0,2.0,2499.5
86,19.5,Female,3.0,5.0,4499.5
91,47.0,Female,5.0,10.0,17499.5
99,47.0,Female,3.0,20.0,224999.5
109,32.0,Female,3.0,5.0,44999.5
115,23.0,Female,0.0,5.0,74999.5
122,52.0,Female,1.0,20.0,6249.5
123,27.0,Female,3.0,10.0,137499.5
125,27.0,Female,3.0,5.0,74999.5
142,27.0,Female,3.0,10.0,174999.5
147,19.5,Female,0.0,5.0,2499.5
151,27.0,Female,3.0,5.0,3499.5
160,32.0,Female,0.0,2.0,74999.5
192,42.0,Female,5.0,0.0,112499.5
195,19.5,Female,0.0,5.0,84999.5
197,19.5,Female,0.0,2.0,12499.5
209,42.0,Female,1.0,10.0,112499.5
212,27.0,Female,3.0,10.0,137499.5
216,27.0,Female,1.0,5.0,27499.5
223,57.0,Female,0.0,10.0,84999.5
225,23.0,Female,3.0,2.0,12499.5
227,47.0,Female,3.0,5.0,137499.5
229,27.0,Female,3.0,5.0,44999.5
252,47.0,Female,1.0,20.0,112499.5
258,32.0,Female,1.0,2.0,64999.5
259,47.0,Female,0.0,20.0,74999.5
262,32.0,Female,3.0,10.0,12499.5
263,27.0,Female,0.0,5.0,22499.5
265,42.0,Female,0.0,2.0,64999.5
268,42.0,Female,3.0,5.0,137499.5
286,37.0,Female,3.0,5.0,6249.5
328,32.0,Female,0.0,5.0,1499.5
333,27.0,Female,3.0,5.0,4499.5
338,32.0,Female,1.0,10.0,137499.5
342,42.0,Female,0.0,20.0,54999.5
343,32.0,Female,1.0,10.0,54999.5
360,27.0,Female,3.0,0.0,3499.5
366,32.0,Female,1.0,5.0,34999.5
367,27.0,Female,3.0,5.0,174999.5
369,27.0,Female,3.0,5.0,12499.5
377,27.0,Female,5.0,2.0,12499.5
379,37.0,Female,1.0,20.0,137499.5
393,37.0,Female,1.0,20.0,44999.5
406,27.0,Female,1.0,10.0,74999.5
408,27.0,Female,3.0,5.0,112499.5
411,52.0,Female,1.0,2.0,17499.5
416,42.0,Female,0.0,5.0,64999.5
425,32.0,Female,1.0,10.0,54999.5
428,23.0,Female,3.0,2.0,6249.5
429,37.0,Female,3.0,10.0,112499.5
431,23.0,Female,3.0,5.0,27499.5
432,42.0,Female,3.0,2.0,44999.5
434,32.0,Female,1.0,10.0,174999.5
435,23.0,Female,3.0,5.0,44999.5
459,32.0,Female,0.0,10.0,54999.5
464,52.0,Female,3.0,10.0,44999.5
466,23.0,Female,3.0,2.0,44999.5
468,32.0,Female,0.0,2.0,74999.5
490,23.0,Female,0.0,5.0,12499.5
500,23.0,Female,2.0,2.0,6249.5
505,27.0,Female,0.0,2.0,17499.5
506,27.0,Female,3.0,5.0,22499.5
526,23.0,Female,3.0,2.0,22499.5
528,32.0,Female,0.0,2.0,84999.5
533,42.0,Female,3.0,10.0,34999.5
538,37.0,Female,3.0,20.0,174999.5
539,23.0,Female,3.0,5.0,74999.5
549,32.0,Female,3.0,10.0,27499.5
566,64.5,Female,1.0,20.0,112499.5
573,52.0,Female,1.0,2.0,1499.5
578,19.5,Female,3.0,2.0,12499.5
584,42.0,Female,3.0,20.0,174999.5
585,32.0,Female,3.0,20.0,54999.5
590,27.0,Female,3.0,5.0,54999.5
601,37.0,Female,1.0,5.0,4499.5
604,19.5,Female,0.0,0.0,6249.5
608,27.0,Female,3.0,10.0,27499.5
611,32.0,Female,0.0,10.0,44999.5
614,27.0,Female,3.0,5.0,44999.5
619,32.0,Female,0.0,10.0,174999.5
623,27.0,Female,0.0,2.0,22499.5
624,32.0,Female,3.0,5.0,34999.5
632,37.0,Female,0.0,5.0,137499.5
637,27.0,Female,3.0,5.0,1499.5
652,37.0,Female,6.0,2.0,74999.5
660,32.0,Female,3.0,5.0,137499.5
674,27.0,Female,3.0,5.0,74999.5
687,19.5,Female,0.0,5.0,22499.5
709,32.0,Female,1.0,10.0,64999.5
711,27.0,Female,3.0,5.0,34999.5
712,37.0,Female,1.0,20.0,112499.5
716,32.0,Female,3.0,5.0,174999.5
732,32.0,Female,1.0,2.0,64999.5
739,37.0,Female,5.0,20.0,224999.5
743,32.0,Female,1.0,20.0,94999.5
744,23.0,Female,0.0,2.0,8749.5
746,32.0,Female,3.0,5.0,84999.5
751,27.0,Female,1.0,10.0,137499.5
758,23.0,Female,0.0,10.0,84999.5
759,42.0,Female,1.0,20.0,174999.5
768,27.0,Female,1.0,5.0,17499.5
777,32.0,Female,3.0,10.0,94999.5
786,37.0,Female,3.0,20.0,112499.5
791,19.5,Female,0.0,2.0,74999.5
801,27.0,Female,1.0,10.0,112499.5
803,32.0,Female,5.0,2.0,112499.5
807,32.0,Female,3.0,5.0,44999.5
809,27.0,Female,3.0,2.0,34999.5
812,42.0,Female,1.0,20.0,174999.5
825,32.0,Female,3.0,0.0,12499.5
838,32.0,Female,3.0,5.0,174999.5
848,42.0,Female,0.0,2.0,3499.5
849,32.0,Female,3.0,10.0,94999.5
859,27.0,Female,3.0,2.0,34999.5
867,27.0,Female,3.0,5.0,112499.5
882,37.0,Female,1.0,5.0,64999.5
884,32.0,Female,3.0,5.0,64999.5
888,23.0,Female,0.0,5.0,4499.5
890,32.0,Female,1.0,2.0,44999.5
894,27.0,Female,1.0,20.0,94999.5
901,47.0,Female,1.0,20.0,17499.5
910,37.0,Female,1.0,10.0,74999.5
911,64.5,Female,3.0,20.0,17499.5
913,52.0,Female,3.0,10.0,137499.5
917,32.0,Female,3.0,10.0,64999.5
924,32.0,Female,3.0,5.0,1499.5
938,42.0,Female,3.0,5.0,17499.5
950,37.0,Female,3.0,5.0,2499.5
955,37.0,Female,1.0,20.0,54999.5
966,27.0,Female,3.0,5.0,84999.5
993,32.0,Female,0.0,5.0,54999.5
996,23.0,Female,3.0,5.0,1499.5
